"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"HOTEL","","HOTEL","10.21233/sxfw-2b43","LegacyPollen 1.0",15910,24497,"Couëdic",47.21389,-1.55722,10,"Europe","Alluvial/Fluvial","Raw",57,"AWI",4,982,9124,145.4,8142,"Riverine. Physiography: palaeovalley of Loire river. Surrounding vegetation: urban area.","1988-01-01 00:00:00","Visset, L., Hauray, G., Charrieau, L. and Rouzeau, N., 2001. Paleoenvironnement urbain : histoire du comblement des vallees de la metropole nantaise, du Tardiglaciaire a la fin de l'Holocene. Annales de Bretagne et des Pays de l'Ouest, 108, pp.147-164 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-OEUFS","","3-OEUFS","10.21233/536b-mm31","LegacyPollen 1.0",15911,24499,"Trois-Oeufs",47.36806,-0.74,14,"Europe","Alluvial/Fluvial","Raw",12,"AWI",2,5028,6230,109.3,1202,"Riverine. Physiography: Loire River. Surrounding vegetation: cultivated fields.",NA,"Pastore, R.T., 1987. Fishermen, furriers, and Beothuks: The economy of extinction. Man in the Northeast, 33(3), 47-62.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHALERIE","","CHALERIE","10.21233/dngj-0r02","LegacyPollen 1.0",15915,24507,"Challerie",47.85861,1.699722,100,"Europe","Alluvial/Fluvial","Raw",111,"AWI",15,78,13082,118.2,13004,"Riverine. Physiography: valley des Mauves. Surrounding vegetation: wood and cultivated fields.","2005-01-01 00:00:00","Visset, L., Cyprien, A.L. and Carcaud, N., 2010. Paleoenvironnements tardiglaciaires et holocenes de l'Orleanais (Loiret). Les sites de Saint-Benoit-sur-Loire et de la vallee des Mauves a Meung-sur-Loire. Revue Archeologique du Loiret, 34, pp.11-26 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TANNIERE","","TANNIERE","10.21233/88nk-cv26","LegacyPollen 1.0",15916,24509,"Les Tannières",46.50556,1.362222,190,"Europe","Peat","Raw",23,"AWI",2,35,439,18.4,404,"Shrubbery peat with Alnus glutinosa. Physiography: basin. Surrounding vegetation: boccages and meadows.","2002-01-01 00:00:00","McGhee, R. and Tuck, J.A., 1975.. 1975. An Archaic sequence from the Strait of Belle Isle, Labrador. Mercury Series 34. Archaeological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARIGNE1","","PARIGNE1","10.21233/2yzn-v779","LegacyPollen 1.0",15917,24513,"Tourbière de Landemarais",48.44167,-1.18167,145,"Europe","Peat","Raw",35,"AWI",3,-34.5,1045.5,31.8,1080,"Peat bog. Physiography: basin. Surrounding vegetation: meadow and wood of Betula and Quercus.","1989-01-01 00:00:00","Visset, L., 1989. La tourbiere de Landemarais en Parigne (Ille-et-Vilaine, France). 2. Etude pollinique. Lejeunia, 129, pp.16-26 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHEL","","MICHEL","10.21233/2yv5-0c85","LegacyPollen 1.0",15919,24516,"Saint-Michel-en-Brenne",46.80944,1.163889,83,"Europe","Meadow","Raw",49,"AWI",4,-41.5,4581,96.3,4622.5,"Buggy meadow. Physiography: basin. Surrounding vegetation: cultivated fields and forets.","2002-01-01 00:00:00","McGhee, R. and Tuck, J.A., 1975.. 1975. An Archaic sequence from the Strait of Belle Isle, Labrador. Mercury Series 34. Archaeological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDMEZ","","GDMEZ","10.21233/bxa2-pc38","LegacyPollen 1.0",15920,24518,"Grand Mez",46.74611,1.4425,123,"Europe","Lake","Raw",16,"AWI",2,-23,917,62.7,940,"Peat fen with Alnus. Physiography: basin. Surrounding vegetation: forest.","2002-01-01 00:00:00","McGhee, R. and Tuck, J.A., 1975.. 1975. An Archaic sequence from the Strait of Belle Isle, Labrador. Mercury Series 34. Archaeological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHERINE","","CHERINE","10.21233/s85f-3f36","LegacyPollen 1.0",15921,24520,"Cherine",46.79222,1.1775,95,"Europe","Peat","Raw",19,"AWI",7,-21,1341,75.7,1362,"Woody peat bog. Physiography: basin. Surrounding vegetation: forest.","2002-01-01 00:00:00","McGhee, R. and Tuck, J.A., 1975.. 1975. An Archaic sequence from the Strait of Belle Isle, Labrador. Mercury Series 34. Archaeological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLIZON","","BLIZON","10.21233/gtyp-4x27","LegacyPollen 1.0",15922,24522,"Blizon",46.74056,1.228889,92,"Europe","Peat","Raw",19,"Neotoma_CAL BP",2,-47,480,29.3,527,"Floating peat bog. Physiography: pond of 30 m. Surrounding vegetation: marshes, ponds and forest.","2002-01-01 00:00:00","McGhee, R. and Tuck, J.A., 1975.. 1975. An Archaic sequence from the Strait of Belle Isle, Labrador. Mercury Series 34. Archaeological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALINGUE","","MALINGUE","10.21233/3zs9-w545","LegacyPollen 1.0",15923,24524,"Malingue",48.43889,-0.575,107,"Europe","Peat","Raw",48,"AWI",6,-18.5,1852,39.8,1870.5,"Peat bog. Physiography: depression. Surrounding vegetation: cultivated fields and forest.","1998-01-01 00:00:00","Barbier, D., 1999. Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un Tardiglaciaire armoricain. Interactions Homme-Milieu. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEVARE","","LEVARE","10.21233/jsc2-rn41","LegacyPollen 1.0",15924,24526,"Lavaré",48.43333,-0.91667,205,"Europe","Peat","Raw",46,"AWI",6,34,2625,57.6,2591,"Peat bog. Physiography: little basin. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Barbier, D., 1999. Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un Tardiglaciaire armoricain. Interactions Homme-Milieu. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VERDEBAS","","VERDEBAS","10.21233/826g-j091","LegacyPollen 1.0",15925,24528,"La Verderie",48.35,-0.42778,265,"Europe","Peat","Raw",16,"AWI",3,-17,1617,108.9,1634,"Peat bog. Physiography: little basin. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Barbier, D., 1999. Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un Tardiglaciaire armoricain. Interactions Homme-Milieu. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VERDEMOY","","VERDEMOY","10.21233/46s2-ed45","LegacyPollen 1.0",15925,24530,"La Verderie",48.35,-0.42778,265,"Europe","Peat","Raw",18,"AWI",3,65,1651,93.3,1586,"Peat bog. Physiography: little basin. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Barbier, D., 1999. Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un Tardiglaciaire armoricain. Interactions Homme-Milieu. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VERDEHAU","","VERDEHAU","10.21233/349p-7t96","LegacyPollen 1.0",15925,24532,"La Verderie",48.35,-0.42778,265,"Europe","Peat","Raw",19,"AWI",4,56,2666,145,2610,"Peat bog. Physiography: little basin. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Barbier, D., 1999. Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un Tardiglaciaire armoricain. Interactions Homme-Milieu. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARCAY1","","PARCAY1","10.21233/nfah-4t91","LegacyPollen 1.0",15926,24534,"Tourbière de Parcay-sur-Vienne",47.09222,0.480556,39,"Europe","Peat","Raw",46,"AWI",12,648,12912,272.5,12264,"Peat bog. Physiography: little basin. Surrounding vegetation: cultivated fields","2005-05-01 00:00:00","Cyprien, A.L. and Visset, L., 2006. Etude palynologique du sondage Parcay 1 (Vallee de la Vienne). Rapport preliminaire. 10, Laboratoire d'Ecologie et des Paleoenvironnements Atlantiques, Universite de Nantes, Nantes, France.",NA,"Cyprien, A.L. and Visset, L., 2007. Complement a l'etude palynologique du sondage Parcay 1 (Vallee de la Vienne). 9, Laboratoire d'Ecologie et des Paleoenvironnements Atlantiques. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORPAIL","","CORPAIL","10.21233/9sm0-1589","LegacyPollen 1.0",15929,24539,"Corniche de Pail",48.41667,-0.21111,374,"Europe","Peat","Raw",15,"AWI",2,955,5884,352.1,4929,"Slope peat bog. Physiography: plateau. Surrounding vegetation: cultivated fields and forest.","1996-01-01 00:00:00","Barbier, D., 1999. Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un Tardiglaciaire armoricain. Interactions Homme-Milieu. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARCAY2","","PARCAY2","10.21233/19wm-rd42","LegacyPollen 1.0",15931,24542,"Parcay-sur-Vienne",47.10583,0.48,37,"Europe","Alluvial/Fluvial","Raw",20,"AWI",6,692,6055,282.3,5363,"Border of Arceau river. Physiography: bank river. Surrounding vegetation: cultivated fields.","2005-05-01 00:00:00","Cyprien, A.L. and Visset, L., 2006. Etude palynologique du sondage Parcay 1 (Vallee de la Vienne). Rapport preliminaire. 10, Laboratoire d'Ecologie et des Paleoenvironnements Atlantiques, Universite de Nantes, Nantes, France.",NA,"Cyprien, A.L. and Visset, L., 2007. Complement a l'etude palynologique du sondage Parcay 1 (Vallee de la Vienne). 9, Laboratoire d'Ecologie et des Paleoenvironnements Atlantiques. Universite de Nantes, Nantes, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEZOU2","","PEZOU2","10.21233/e523-zp67","LegacyPollen 1.0",15932,24547,"Pezou",47.87083,1.150833,87,"Europe","Alluvial/Fluvial","Raw",29,"AWI",7,-38,15552,556.8,15590,"Riverine. Physiography: alluvial plain. Surrounding vegetation: cultivated fields.","2005-09-01 00:00:00","Cyprien, A.L., Visset, L. and Charrieau, L., 2006. Etudes palynologiques du site de Pezou 2 - Fontaine de Montorson (Loir-et-Cher). Laboratoire d'Ecologie et de Paleoenvironnements Atlantiques, CNRS-UMR 6566, Universite de Nantes, Nantes, France.",NA,"Piana, J., Carcaud, N., Cyprien-Chouin, A.L., Visset, L. and Leroy, D., 2009. Dynamique paysagere tardiglaciaire et holocene dans la vallee du Loir a Pezou (Loir-et-Cher): developpements methodologiques et premiers resultats. Norois. Environnement, amenagement, societe, 213(4), pp.73-88 (in French).","https://doi.org/10.4000/norois.3047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANGEAI1","","LANGEAI1","10.21233/mbst-4266","LegacyPollen 1.0",15935,24551,"Cinq-Mars-la-Pile",47.33778,0.451111,38,"Europe","Alluvial/Fluvial","Raw",77,"AWI",8,68,9192,120.1,9124,"Riverine. Physiography: Loire river. Surrounding vegetation: cultivated fields.","1980-01-01 00:00:00","Carcaud, N., Garcin, M., Visset, L., Musch, J. and Burnouf, J., 2002. Nouvelle lecture de l'evolution des paysages fluviaux a l'Holocene dans le bassin de la Loire moyenne. Les fleuves ont une histoire, paleo-environnement des rivieres et des lacs francais depuis, 15000 ans., Archeologie Aujourd'hui (pp.71-84), French.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAVAMONT","","CAVAMONT","10.21233/qdx7-af11","LegacyPollen 1.0",15936,24553,"Caves d'Amont",47.32667,0.475278,42,"Europe","Alluvial/Fluvial","Raw",67,"AWI",7,66,8001,120.2,7935,"Riverine. Physiography: 400m from Vieux Cher river. Surrounding vegetation: cultivated fields and forests.","1980-01-01 00:00:00","Carcaud, N., Garcin, M., Visset, L., Musch, J. and Burnouf, J., 2002. Nouvelle lecture de l'evolution des paysages fluviaux a l'Holocene dans le bassin de la Loire moyenne. Les fleuves ont une histoire, paleo-environnement des rivieres et des lacs francais depuis, 15000 ans., Archeologie Aujourd'hui (pp.71-84), French.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANVIHAN","","LANVIHAN","10.21233/2hdq-sr31","LegacyPollen 1.0",15937,24555,"Lann Vihan",47.34694,-2.86444,5,"Europe","Peat","Raw",59,"AWI",8,37,5217,89.3,5180,"Marsh. Physiography: island. Surrounding vegetation: marsh.","2003-10-01 00:00:00","Visset, L., Delalande, C. and Joly, C., 2006. Tourbiere et marecage a Hoedic. Histoire du paysage depuis 6000 ans. Melvan, La Revue des Deux Iles, 3, pp.25-35 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROIX","","CROIX","10.21233/nmwt-fc53","LegacyPollen 1.0",15939,24559,"Port-La-Croix",47.33528,-2.87417,1,"Europe","Peat","Raw",41,"AWI",6,2001,8223,155.6,6222,"Peat bog. Physiography: tidal flat. Surrounded vegetation: shrubs and bogs","2003-10-01 00:00:00","Delalande, C., Joly, C. and Visset, L., 2004. Evolution du paysage vegetal insulaire d'Hoedic (Morbihan), du Neolithique moyen a la periode contemporaine. Bulletin de l'AMARAI, (17), pp.17-31 (in French).",NA,"Visset, L., Delalande, C. and Joly, C., 2006. Tourbiere et marecage a Hoedic. Histoire du paysage depuis 6000 ans. Melvan, La Revue des Deux Iles, 3, pp.25-35 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHA11","","CHA11","10.21233/y1f4-bz49","LegacyPollen 1.0",15941,24563,"Charcenay",47.40472,0.642222,55,"Europe","Alluvial/Fluvial","Raw",41,"AWI",5,668,13147,312,12479,"Terrace of Palluau. Physiography: alluvial plain. Surrounding vegetation: cultivated fields, shrubs and urban area.","1996-01-01 00:00:00","Cyprien, A.L. and Visset, L., 2006. Etude palynologique du site de Charenay -CHA11- Vallee de la Choisille. Rapport Definitif Novembre 2006., Universite de Nantes, Nantes, France (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIA3P","","RIA3P","10.21233/gy4b-s732","LegacyPollen 1.0",15945,24570,"Riabelais",47.4025,0.648333,46,"Europe","Alluvial/Fluvial","Raw",47,"AWI",6,96,6282,134.5,6186,"Peaty palaeo-channel of Choisille river. Physiography: terrace of Choisille in alluvial plain. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Cyprien, A.L. and Visset, L., 2007. Etude palynologique du site de Riabelais (vallee de la Choisille) (Fondettes et Saint-Cyr). Rapport definitif, Universite de Nantes, Nantes, France (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8CHOI","","S8CHOI","10.21233/xsxr-ky48","LegacyPollen 1.0",15946,24572,"La Grande Brousse",47.48667,0.674167,66,"Europe","Alluvial/Fluvial","Raw",29,"AWI",5,182,13120,462.1,12938,"River Grande Choisille. Physiography: valley bottom. Surrounding vegetation: cultivated fields.","1994-01-01 00:00:00","Cyprien, A.L., Visset, L. and Charrieau, L., 2004. Etudes palynologiques du site de la Grande Brousse, Vallee de la Choisille, Communes de Cerelles et Chanceaux-sur-Choisille (Indre-et-Loire). Rapport Definitif, Universite de Nantes, Nantes, France (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1CHOI","","S1CHOI","10.21233/rrws-7771","LegacyPollen 1.0",15946,24574,"La Grande Brousse",47.48667,0.674167,66,"Europe","Alluvial/Fluvial","Raw",36,"AWI",5,458,13146,362.5,12688,"River Grande Choisille. Physiography: valley bottom. Surrounding vegetation: cultivated fields.","1994-01-01 00:00:00","Cyprien, A.L., Visset, L. and Charrieau, L., 2004. Etudes palynologiques du site de la Grande Brousse, Vallee de la Choisille, Communes de Cerelles et Chanceaux-sur-Choisille (Indre-et-Loire). Rapport Definitif, Universite de Nantes, Nantes, France (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S13CHOI","","S13CHOI","10.21233/jdtq-9666","LegacyPollen 1.0",15946,24576,"La Grande Brousse",47.48667,0.674167,66,"Europe","Alluvial/Fluvial","Raw",34,"AWI",5,167,3035,86.9,2868,"River Grande Choisille. Physiography: valley bottom. Surrounding vegetation: cultivated fields.","1994-01-01 00:00:00","Cyprien, A.L., Visset, L. and Charrieau, L., 2004. Etudes palynologiques du site de la Grande Brousse, Vallee de la Choisille, Communes de Cerelles et Chanceaux-sur-Choisille (Indre-et-Loire). Rapport Definitif, Universite de Nantes, Nantes, France (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BJE12","","BJE12","10.21233/scew-1h82","LegacyPollen 1.0",15947,24578,"Bois-Jésus",47.41333,0.638056,53,"Europe","Alluvial/Fluvial","Raw",39,"AWI",5,-50,10712,283.2,10762,"Riverine. Physiography: alluvial plain. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Cyprien, A.L. and Visset, L., 2006. Analyse palynologique du site de Bois-Jesus BJE12. Rapport complementaire Novembre 2006, Universite de Nantes (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PETIMAR3","","PETIMAR3","10.21233/n8w1-xz08","LegacyPollen 1.0",15952,24590,"Petit Marais",47.21722,-2.10222,1,"Europe","Peat","Raw",46,"AWI",6,2034,7100,112.6,5066,"Marsh. Physiography: estuary of Boivre. Surrounding vegetation: cultivated fields.","1997-01-01 00:00:00","Marchand, G., Tessier, M. and Bernard, J., 1999. Les occupations mesolithiques et neolithiques de la Fillauderie (Saint-Pere-en-Retz, Loire-Atlantique) et la prehistoire recente de la basse vallee du Boivre. Revue archeologique de l'Ouest, 16(1), pp.39-65 (in French).","https://doi.org/10.3406/rao.1999.1087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THEVALLE","","THEVALLE","10.21233/x6et-gw35","LegacyPollen 1.0",15954,24593,"Moulin de Thévalles",47.96944,-0.41639,58,"Europe","Peat","Raw",60,"AWI",6,79,9530,160.2,9451,"Marshy meadow in river meander. Physiography: Erve valley. Surrounding vegetation: cultivated fields.","2000-01-01 00:00:00","Visset, L., Barbier, D. and Ouguerram, A., 2005. Le paysage vegetal dans le Bas-Maine (Mayenne, France), le long de la vallee de l'Erve, de la fin du Mesolithique a l'epoque recente/Botanic landscape in Bas-Maine (Mayenne, France), along the Erve valley, from the end of Mesolithic to recent times. Revue archeologique de l'Ouest, 22(1), pp.85-92 (in French).","https://doi.org/10.3406/rao.2005.1117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLEE","","BALLEE","10.21233/271c-xj09","LegacyPollen 1.0",15955,24595,"Les Noës",47.95167,-0.42028,50,"Europe","Peat","Raw",62,"AWI",6,592,4083,57.2,3491,"Marshy meadow in river meander. Physiography: Erve river. Surrounding vegetation: cultivated fields.","2000-01-01 00:00:00","Visset, L., Barbier, D. and Ouguerram, A., 2005. Le paysage vegetal dans le Bas-Maine (Mayenne, France), le long de la vallee de l'Erve, de la fin du Mesolithique a l'epoque recente/Botanic landscape in Bas-Maine (Mayenne, France), along the Erve valley, from the end of Mesolithic to recent times. Revue archeologique de l'Ouest, 22(1), pp.85-92 (in French).","https://doi.org/10.3406/rao.2005.1117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KERDUAL","","KERDUAL","10.21233/e387-w812","LegacyPollen 1.0",15959,24600,"Marais de Kerdual",47.58667,-3.05167,3,"Europe","Peat","Raw",49,"AWI",2,28,3976,82.2,3948,"Former salt marsh. Physiography: bay. Surrounding vegetation: marsh and cultivated fields.","1995-01-01 00:00:00","Visset, L., Sellier, D. and L'Helgouach, J., 1995. Le paleoenvironnement de la region de Carnac. Sondage dans le marais de Kerdual, La Trinite-sur-Mer (Morbihan). Revue archeologique de l'Ouest, 12(1), pp.57-71 (in French).","https://doi.org/10.3406/rao.1995.1025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOURGUS2","","BOURGUS2","10.21233/z3vf-sk02","LegacyPollen 1.0",15965,24611,"La Prairie du Cassoir",47.25667,0.1475,28,"Europe","Alluvial/Fluvial","Raw",37,"AWI",4,388,2033,45.7,1645,"Riverine. Physiography: river Le Lane. Surrounding vegetation: cultivated fields.","1996-01-01 00:00:00","Visset, L., Pont, C., Carcaud, N., Bernard, J. and Violot, J., 1999. Etude paleoenvironnementale de la vallee du Lane du Neolithique au Moyen-Age, Saint Nicolas de Bourgueil (Indre-et-Loire), la Prairie du Cassoir [Palaeoenvironmental study of the Loire valley from the Neolithic age to the Middle Ages]. Quaternaire, 10(4), pp.247-261 (in French).","https://doi.org/10.3406/quate.1999.1646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIEDLIZE","","PIEDLIZE","10.21233/x9jq-my02","LegacyPollen 1.0",15966,24616,"Pied-Lizet en Longèves",46.25,-0.96667,4,"Europe","Alluvial/Fluvial","Raw",48,"AWI",2,2819,4990,46.2,2171,"Field. Physiography: estuary mud-flat. Surrounding vegetation: cultivated fields.",NA,"Visset, L., 1987. Etude pollenanalytique de quelques sites du Marais poitevin. Quaternaire, 24(2), pp.81-91 (in French).","https://doi.org/10.3406/quate.1987.1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARRON","","CHARRON","10.21233/4fc7-8829","LegacyPollen 1.0",15968,24618,"La Bergerie en Charron",46.30111,-1.04389,3,"Europe","Peat","Raw",52,"AWI",3,810,3483,52.4,2673,"Marsh. Physiography: estuary mud-flat. Surrounding vegetation: cultivated fields.",NA,"Visset, L., 1987. Etude pollenanalytique de quelques sites du Marais poitevin. Quaternaire, 24(2), pp.81-91 (in French).","https://doi.org/10.3406/quate.1987.1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRANGE3","","GRANGE3","10.21233/aeqn-c862","LegacyPollen 1.0",15969,24620,"La Grange",46.08972,-0.77528,16,"Europe","Peat","Raw",41,"AWI",6,2684,9083,160,6399,"Previous peat bog. Physiography: valley of La Geres river. Surrounding vegetation: cultivated fields &amp; alder/willow/poplar.","2001-11-16 00:00:00","Joly, C., 2006. Histoire de la vegetation dans l'espace centre-ouest atlantique (France) : relations Societes/Vegetation et evolution du trait de cote depuis le Mesolithique recent-final. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,"Joly, C. and Visset, L., 2009. Evolution of vegetation landscapes since the Late Mesolithic on the French West Atlantic coast. Review of Palaeobotany and Palynology, 154(1-4), pp.124-179.","https://doi.org/10.1016/j.revpalbo.2008.12.011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRANGE2","","GRANGE2","10.21233/kzqk-jj13","LegacyPollen 1.0",15969,24622,"La Grange",46.08972,-0.77528,16,"Europe","Peat","Raw",48,"AWI",6,658,7402,143.5,6744,"Previous peat bog. Physiography: valley of La Geres river. Surrounding vegetation: cultivated fields &amp; alder/willow/poplar.","2001-11-16 00:00:00","Joly, C., 2006. Histoire de la vegetation dans l'espace centre-ouest atlantique (France) : relations Societes/Vegetation et evolution du trait de cote depuis le Mesolithique recent-final. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,"Joly, C. and Visset, L., 2009. Evolution of vegetation landscapes since the Late Mesolithic on the French West Atlantic coast. Review of Palaeobotany and Palynology, 154(1-4), pp.124-179.","https://doi.org/10.1016/j.revpalbo.2008.12.011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRANGE1","","GRANGE1","10.21233/49j0-se42","LegacyPollen 1.0",15969,24624,"La Grange",46.08972,-0.77528,16,"Europe","Peat","Raw",21,"AWI",5,773,8634,393,7861,"Previous peat bog. Physiography: valley of La Geres river. Surrounding vegetation: cultivated fields &amp; alder/willow/poplar.","2001-11-16 00:00:00","Joly, C., 2006. Histoire de la vegetation dans l'espace centre-ouest atlantique (France) : relations Societes/Vegetation et evolution du trait de cote depuis le Mesolithique recent-final. Doctoral dissertation. Universite de Nantes, Nantes, France.",NA,"Joly, C. and Visset, L., 2009. Evolution of vegetation landscapes since the Late Mesolithic on the French West Atlantic coast. Review of Palaeobotany and Palynology, 154(1-4), pp.124-179.","https://doi.org/10.1016/j.revpalbo.2008.12.011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUSCINIO","","SUSCINIO","10.21233/pbq8-yy15","LegacyPollen 1.0",15970,24626,"Castle Suscinio",47.5125,-2.72722,2,"Europe","Peat","Raw",75,"AWI",6,207,7561,99.4,7354,"Marsh. Physiography: marsh behind beach barrier. Surrounding vegetation: marshes, cultivatd fields.",NA,"Visset, L. and Bernard, J., 2006. Evolution du littoral et du paysage, de la presqu'ile de Rhuys a la riviere d'Etel (Massif armoricain-France), du Neolithique au Moyen Age. ArcheoSciences. Revue d'archeometrie, (30), pp.143-156.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERDEVEN","","ERDEVEN","10.21233/5m52-nd84","LegacyPollen 1.0",15972,24631,"Kerminihy beach",47.63278,-3.20083,1,"Europe","Coast","Raw",49,"AWI",6,2680,4373,35.3,1693,"Foreshore. Physiography: beach. Surrounding vegetation: short vegetation of beach barrier.",NA,"Visset, L. and Bernard, J., 2006. Evolution du littoral et du paysage, de la presqu'ile de Rhuys a la riviere d'Etel (Massif armoricain-France), du Neolithique au Moyen Age. ArcheoSciences. Revue d'archeometrie, (30), pp.143-156.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
